,Stage Name,Full Name,Date of Birth,Group,Country,Height,Weight,Gender,Year of Birth,Age
620,Iaan,Yoo Dongju,2002-03-22,XUM,South Korea,0,0,F,2002,21
621,Ida,Ko Chaeyoung,2000-05-19,MAJORS,South Korea,163,43,F,2000,23
622,Ilhoon,Jung Ilhoon,1994-10-04,BtoB,South Korea,176,64,M,1994,29
623,Inho,Hwang Inho,1993-06-21,IN2IT,South Korea,177,58,M,1993,30
624,Inpyo,Lee Inpyo,1995-08-14,IN2IT,South Korea,182,66,M,1995,28
625,Inseong,Kim Inseong,1993-07-12,SF9,South Korea,0,0,M,1993,30
626,Inseong,Jeong Inseong,1994-07-01,KNK,South Korea,183,71,M,1994,29
627,Insoo,Kang Insoo,1988-03-10,MYNAME,South Korea,0,0,M,1988,35
628,Intak,Hwang Intak,2003-08-31,P1Harmony,South Korea,0,0,M,2003,20
629,Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,South Korea,0,0,F,2002,21
630,Irene,Bae Juhyun,1991-03-29,Red Velvet,South Korea,161,0,F,1991,32
631,Isa,Lee Chaeyoung,2002-01-23,STAYC,South Korea,165,45,F,2002,21
632,Isaac,Voo Isaak,1994-12-12,IN2IT,Malaysia,176,56,M,1994,29
633,Isol,,1997-05-01,Lusty,South Korea,166,48,F,1997,26
634,IU,Lee Jieun,1993-05-16,,South Korea,162,0,F,1993,30
635,Ivan,Park Yooseong,2001-10-12,Kingdom,South Korea,0,0,M,2001,22
636,J,Lee Yeji,1998-02-12,ANS,South Korea,0,0,F,1998,25
637,J,Jang Yeeun,2004-12-09,STAYC,South Korea,170,48,F,2004,19
638,J-Hoon,Lim Junghoon,1990-07-15,B.I.G,South Korea,172,62,M,1990,33
639,J-Hope,Jung Hoseok,1994-02-18,BTS,South Korea,177,65,M,1994,29
640,J-Min,Jeon Minwook,1999-10-16,BAE173,South Korea,0,0,M,1999,24
641,J-Us,Lee Seungjoon,1995-01-13,ONF,South Korea,0,0,M,1995,28
642,J.Min,Shin Minjung,1994-11-20,Tiny-G,South Korea,155,0,F,1994,29
643,J.seph,Kim Taehyung,1992-06-21,KARD,South Korea,0,0,M,1992,31
644,J.YOU,Kim Jaeyu,2000-11-02,TOO,South Korea,0,0,M,2000,23
645,Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',USA,0,0,F,2001,22
646,Jackson,Jackson Wang,1994-03-28,GOT7,Hong Kong,174,63,M,1994,29
647,Jacob,Bae Joonyoung,1997-05-30,The Boyz,South Korea,175,60,M,1997,26
648,Jacob,Zhang Peng,1996-09-07,VAV,China,184,63,M,1996,27
649,Jae,Park Jaehyung,1992-09-15,DAY6,South Korea,0,0,M,1992,31
650,Jaebin,Deung Bin,1997-02-13,VARSITY,China,168,0,M,1997,26
651,Jaechan,Park Jaechan,2001-12-06,Dongkiz,South Korea,177,58,M,2001,22
652,Jaehan,Kim Jaehan,1995-07-01,OMEGA X,South Korea,0,0,M,1995,28
653,Jaehee,Lee Jaehee,2004-03-18,Weeekly,South Korea,166,0,F,2004,19
654,Jaeho,Kim Jaeho,1992-09-17,HISTORY,South Korea,174,58,M,1992,31
655,Jaehwan,Kim Jaehwan,1996-05-27,Wanna One,South Korea,0,0,M,1996,27
656,Jaehyo,Ahn Jaehyo,1990-12-23,Block B,South Korea,182,60,M,1990,33
657,Jaehyuk,Yoon Jaehyuk,2001-07-23,Treasure,South Korea,0,0,M,2001,22
658,Jaehyun,Jung Yoonoh,1997-02-14,NCT,South Korea,0,0,M,1997,26
659,Jaehyun,Kim Jaehyun,1994-07-15,N.Flying,South Korea,0,0,M,1994,29
660,Jaehyun,Bong Jaehyun,1999-01-04,Golden Child,South Korea,0,0,M,1999,24
661,Jaehyun,Myung Jaehyun,2003-12-04,BOYNEXTDOOR,South Korea,0,0,M,2003,20
662,Jaejin,Lee Jaejin,1991-12-17,FTISLAND,South Korea,0,0,M,1991,32
663,Jaejoong,Kim Jaejoong,1986-01-26,JYJ,South Korea,0,0,M,1986,37
664,Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,South Korea,168,45,F,1988,35
665,Jaemin,Na Jaemin,2000-08-13,NCT,South Korea,0,0,M,2000,23
666,Jaemin,Shin Jaemin,1996-06-08,XEED,South Korea,0,0,M,1996,27
667,Jaeseok,Park Jaeseok,1995-11-20,,South Korea,0,0,M,1995,28
668,Jaeun,Ha Jaeun,1999-09-28,ARGON,South Korea,0,0,M,1999,24
669,Jaewon,Shin Jaewon,2004-03-02,The Wind,South Korea,0,0,M,2004,19
670,Jaeyoon,Lee Jaeyoon,1994-08-09,SF9,South Korea,0,0,M,1994,29
671,Jaeyun,Lee Jaeyun,2000-08-16,TOO,South Korea,0,0,M,2000,23
672,Jaeyun,Moon Jaeyun,2002-07-02,8TURN,New Zealand,178,64,M,2002,21
673,Jahan,Im Jihun,2002-08-01,Kingdom,South Korea,0,0,M,2002,21
674,Jake,Shim Jaeyoon,2002-11-15,ENHYPEN,South Korea,0,0,M,2002,21
675,Jamie,Park Jimin,1997-07-05,15&,South Korea,160,0,F,1997,26
676,Jane,Sung Jiyeon,1997-12-20,MOMOLAND,South Korea,167,46,F,1997,26
677,Jangjun,Lee Jangjun,1997-03-03,Golden Child,South Korea,0,0,M,1997,26
678,Jay,Kim Jinhwan,1994-02-07,iKON,South Korea,0,0,M,1994,29
679,Jay,Park Jongsung,2002-04-20,ENHYPEN,South Korea,0,0,M,2002,21
680,JB,Im Jaebum,1994-01-06,GOT7,South Korea,179,63,M,1994,29
681,Jea,Kim Hyojin,1981-09-18,Brown Eyed Girls,South Korea,0,0,F,1981,42
682,Jeewon,Kim Jiwon,1999-04-01,Cignature,South Korea,0,0,F,1999,24
683,Jeff,Lee Jaeho,2005-04-21,EPEX,South Korea,179,61,M,2005,18
684,Jehyun,Moon Jehyun,1999-04-20,OMEGA X,South Korea,0,0,M,1999,24
685,Jei,Kim Jinhee,1989-09-05,Fiestar,South Korea,162,0,F,1989,34
686,Jen,Kim Yehyeon,1997-03-27,UNVS,South Korea,0,0,M,1997,26
687,Jenissi,Kim Taeyang,1991-08-02,,South Korea,0,0,M,1991,32
688,Jenna,Kim Minji,2006-10-06,Queenz Eye,South Korea,0,0,F,2006,17
689,Jennie,Kim Jennie,1996-01-16,BLACKPINK,South Korea,163,50,F,1996,27
690,Jenny,Lee Soyul,1996-09-04,,South Korea,165,47,F,1996,27
691,Jeno,Lee Jeno,2000-04-23,NCT,South Korea,0,0,M,2000,23
692,Jeon Woong,Jeon Woong,1997-10-15,AB6IX,South Korea,173,0,M,1997,26
693,Jeongeun,Park Jeongeun,2003-04-17,HAWW,South Korea,179,0,M,2003,20
694,Jeonggyu,Lim Jeonggyu,1997-11-05,7 O'clock,South Korea,181,62,M,1997,26
695,Jeonghan,Yoon Jeonghan,1995-10-04,Seventeen,South Korea,175,54,M,1995,28
696,Jeonghee,Go Jeonghee,2000-03-11,Favorite,South Korea,0,0,F,2000,23
697,Jeongkyun,Jeong Jeongkyun,1987-11-27,WE:A,South Korea,180,60,M,1987,36
698,Jeongmin,Lee Jeongmin,1994-02-01,Boyfriend,South Korea,173,60,M,1994,29
699,Jeongmin,Woo Jeongmin,2002-05-31,WEUS,South Korea,175,65,M,2002,21
700,Jeongseung,Park Jeongseung,2002-05-20,D-CRUNCH,South Korea,0,0,M,2002,21
701,Jeonguk,Kim Jeonguk,1993-03-20,24K,South Korea,178,58,M,1993,30
702,Jeongwoo,Park Jeongwoo,2004-09-28,Treasure,South Korea,0,0,M,2004,19
703,Jeongyeon,Yoo Jeongyeon,1996-11-01,Twice,South Korea,168,0,F,1996,27
704,Jeongyoon,Woo Jeongyoon,2003-04-11,WEUS,South Korea,184,62,M,2003,20
705,Jeonyul,Jeon Yuri,1994-03-20,Stellar,South Korea,0,0,F,1994,29
706,Jerome,Oh Sungmin,2001-08-25,TOO,South Korea,0,0,M,2001,22
707,Jerrry,Ahn Sohyun,1992-08-27,Tahiti,South Korea,0,0,F,1992,31
708,Jessica,Jessica Jung,1989-04-18,,South Korea,0,0,F,1989,34
709,Jewon,Woo Jewon,1998-11-28,NINE.i,South Korea,170,55,M,1998,25
710,Ji Hansol,Ji Hansol,1994-11-21,Newkidd,South Korea,182,63,M,1994,29
711,Jia,Meng Jia,1989-02-03,miss A,China,166,0,F,1989,34
712,Jia,Guo Jiajia,2005-07-30,TRI.BE,China,0,0,F,2005,18
713,Jia,Yoon Jia,2004-01-16,mimiirose,South Korea,165,0,F,2004,19
714,Jiae,Yoo Jiae,1993-05-21,Lovelyz,South Korea,163,43,F,1993,30
715,Jiae,Kim Jiae,1995-10-31,Wassup,South Korea,0,0,F,1995,28
716,Jiahn,Yoo Jiahn,1992-04-01,IN2IT,South Korea,176,57,M,1992,31
717,Jian,Kwon Jieun,2001-03-14,LUNARSOLAR,South Korea,0,0,F,2001,22
718,Jian,Kim Jian,2006-11-04,,South Korea,0,0,F,2006,17
719,Jibeom,Kim Jibeom,1999-02-03,Golden Child,South Korea,0,0,M,1999,24
720,Jieun,Song Jieun,1990-05-05,SECRET,South Korea,0,0,F,1990,33
721,Jieun,Park Jieun,1997-09-04,,South Korea,166,49,F,1997,26
722,Jieun,Choi Jieun,2001-03-03,Bling Bling,South Korea,0,0,F,2001,22
723,Jihan,Han Jihyo,2004-07-12,Weeekly,South Korea,0,0,F,2004,19
724,Jiheon,Baek Jiheon,2003-04-17,fromis_9,South Korea,0,0,F,2003,20
725,Jiho,Kim Jiho,1997-04-04,,South Korea,165,49,F,1997,26
726,Jiho,Jang Jiho,2004-08-10,NINE.i,South Korea,0,0,M,2004,19
727,Jihoo,Lim Soojung,1998-08-05,IZ,South Korea,0,0,M,1998,25
728,Jihoon,Park Jihoon,1999-05-29,Wanna One,South Korea,0,0,M,1999,24
729,Jihoon,Park Jihoon,2000-03-14,Treasure,South Korea,0,0,M,2000,23
730,Jihun,Kim Jihun,2000-01-09,BXB,South Korea,176,0,M,2000,23
731,Jihun,Kim Jihun,1995-02-20,KNK,South Korea,186,73,M,1995,28
732,Jihyo,Park Jisoo,1997-02-01,Twice,South Korea,162,0,F,1997,26
733,Jihyo,Lee Jihyo,2001-04-22,PRECIOUS,South Korea,166,49,F,2001,22
734,Jihyun,Nam Jihyun,1990-01-09,4minute,South Korea,167,0,F,1990,33
735,Jimin,Shin Jimin,1991-01-08,,South Korea,160,43,F,1991,32
736,Jimin,Park Jimin,1995-10-13,BTS,South Korea,175,61,M,1995,28
737,Jimin,Won Jimin,2007-11-25,CLASS:y,South Korea,171,0,F,2007,16
738,Jimin,Kim Jimin,2002-05-01,HAWW,South Korea,177,61,M,2002,21
739,JIN,Park Myungeun,1996-06-12,Lovelyz,South Korea,165,47,F,1996,27
740,Jin,Kim Seokjin,1992-12-04,BTS,South Korea,179,63,M,1992,31
741,Jin Jin,Park Jinwoo,1996-03-15,ASTRO,South Korea,0,0,M,1996,27
742,JinE,Shin Hyejin,1995-01-22,,South Korea,160,48,F,1995,28
743,Jingyu,Lee Jingyu,1998-04-22,Astin,South Korea,0,0,M,1998,25
744,Jinha,Kim Jinha,2003-11-21,TRI.BE,South Korea,0,0,F,2003,20
745,Jinho,Jo Jinho,1992-04-17,PENTAGON,South Korea,0,0,M,1992,31
746,Jinhong,Kim Jinhong,1998-01-02,24K,South Korea,180,53,M,1998,25
747,Jinhoo,Kim Jinwook,1995-08-02,,South Korea,0,0,M,1995,28
748,Jinhui,,1996-11-21,Lusty,South Korea,160,42,F,1996,27
749,Jinhwa,Choi Jinhwa,2002-01-15,BLITZERS,South Korea,180,64,M,2002,21
750,Jinju,Park Jinju,1990-04-28,,South Korea,0,0,F,1990,33
751,Jinkwon,Kim Jinkwon,2001-01-31,Newkidd,South Korea,0,0,M,2001,22
752,Jinni,Choi Yujin,2004-04-16,,South Korea,0,0,F,2004,19
753,Jinny,Park Jinhee,1998-01-19,SECRET NUMBER,South Korea,0,0,F,1998,25
754,Jinsik,Han Jinsik,2004-07-30,xikers,South Korea,0,0,M,2004,19
755,Jinsol,Lee Jinsol,2001-12-04,APRIL,South Korea,0,0,F,2001,22
756,JinSoul,Jung Jinsol,1997-06-13,LOONA,South Korea,0,0,F,1997,26
757,Jinsung,Jung Jinsung,2002-03-30,1the9,South Korea,176,58,M,2002,21
758,Jinu,Kim Jinwoo,1991-09-26,WINNER,South Korea,0,0,M,1991,32
759,Jinwoo,Lee Jinwoo,2004-09-13,Ghost9,South Korea,176,57,M,2004,19
760,Jinyoung,Jung Jinyoung,1991-11-18,,South Korea,178,58,M,1991,32
761,Jinyoung,Park Jinyoung,1994-09-22,GOT7,South Korea,178,63,M,1994,29
762,Jinyoung,Bae Jinyoung,2000-05-10,CIX,South Korea,0,0,M,2000,23
763,Jinyoung,Woo Jinyoung,1997-05-31,D1CE,South Korea,170,51,M,1997,26
764,Jisan,Choi Jinsang,1999-11-03,Hot Blood Youth,South Korea,0,0,M,1999,24
765,Jisoo,Seo Jisoo,1994-02-11,Lovelyz,South Korea,165,46,F,1994,29
766,Jisoo,Kim Jisoo,1995-01-03,BLACKPINK,South Korea,162,45,F,1995,28
767,Jisoo,Shin Jisoo,1994-02-28,Tahiti,South Korea,0,0,F,1994,29
768,Jisoo,Jung Jisoo,2003-11-22,Busters,South Korea,0,0,F,2003,20
769,Jisook,Kim Jisook,1990-07-18,Rainbow,South Korea,164,41,F,1990,33
770,Jisu,Choi Jisu,2000-01-19,TOO,South Korea,0,0,M,2000,23
771,Jisun,Roh Jisun,1998-11-23,fromis_9,South Korea,0,0,F,1998,25
772,Jisun,Hwang Jisun,1989-10-17,S#aFLA,South Korea,165,46,F,1989,34
773,Jisung,Park Jisung,2002-02-05,NCT,South Korea,0,0,M,2002,21
774,Jisung,Yoon Jisung,1991-03-08,Wanna One,South Korea,0,0,M,1991,32
775,Jisung,Kim Jisung,2000-12-21,TRCNG,South Korea,171,0,M,2000,23
776,Jiu,Kim Minji,1994-05-17,Dreamcatcher,South Korea,167,0,F,1994,29
777,Jiung,Choi Jiwoong,2001-10-07,P1Harmony,South Korea,0,0,M,2001,22
778,Jiwon,Yang Jiwon,1988-04-05,UNI.T,South Korea,0,0,F,1988,35
779,Jiwon,Park Jiwon,1998-03-20,fromis_9,South Korea,0,0,F,1998,25
780,Jiwon,Heo Jiwon,2000-09-04,Cherry Bullet,South Korea,0,0,F,2000,23
781,Jiwon,Park Jiwon,1997-03-17,BOTOPASS,South Korea,165,45,F,1997,26
782,Jiwoo,Jeon Jiwoo,1996-10-04,KARD,South Korea,0,0,F,1996,27
783,Jiwoo,Kim Jiwoo,2005-04-13,NMIXX,South Korea,0,0,F,2005,18
784,Jiwoo,Lee Jiwoo,2005-10-24,tripleS,South Korea,0,0,F,2005,18
785,Jiwoong,Kim Jiwoong,1998-12-14,ZEROBASEONE,South Korea,178,0,M,1998,25
786,Jiyeon,Park Jiyeon,1993-06-07,T-ara,South Korea,167,45,F,1993,30
787,Jiyoon,Jeon Jiyoon,1990-10-15,4minute,South Korea,165,0,F,1990,33
788,Jiyoon,Woo Jiyoon,1996-01-06,Bolbbalgan4,South Korea,0,0,F,1996,27
789,Jiyoon,Shin Jiyoon,2002-03-02,,South Korea,0,0,F,2002,21
790,Jiyoon,Jeong Jiyoon,2000-09-15,ICHILLIN',South Korea,168,0,F,2000,23
791,Jiyou,Im Changsook,1989-06-15,Two X,South Korea,0,0,F,1989,34
792,Jiyoung,Kang Jiyoung,1994-01-18,KARA,South Korea,0,0,F,1994,29
793,Jiyoung,Ahn Jiyoung,1995-09-14,Bolbbalgan4,South Korea,0,0,F,1995,28
794,Jiyul,Yang Jungyoon,1991-07-30,,South Korea,0,0,F,1991,32
795,JJ,Jun Jihyeok,1998-12-11,DUSTIN,South Korea,0,0,M,1998,25
796,JK,Kim Jikang,1998-03-17,Girlkind,South Korea,0,161,F,1998,25
797,JM,Chu Jimin,2001-10-11,JUST B,South Korea,173,0,M,2001,22
798,Johnny,John Seo,1995-02-09,NCT,USA,0,0,M,1995,28
799,Johyun,Shin Jiwon,1996-04-14,Berry Good,South Korea,0,0,F,1996,27
800,Jongho,Choi Jongho,2000-10-12,ATEEZ,South Korea,176,0,M,2000,23
801,Jonghoon,Choi Jonghoon,1990-03-07,FTISLAND,South Korea,0,0,M,1990,33
802,Jonghwan,Jo Jonghwan,1992-11-23,FAVE1,South Korea,0,0,M,1992,31
803,Jonghyeong,Kim Jonghyeong,2002-04-13,Dongkiz,South Korea,178,65,M,2002,21
804,Jonghyun,Lee Jonghyun,1990-05-15,CNBLUE,South Korea,0,0,M,1990,33
805,Jonghyun†,Kim Jonghyun,1990-04-08,,South Korea,173,56,M,1990,33
806,Jongseob,Kim Jongseob,2005-11-19,P1Harmony,South Korea,173,0,M,2005,18
807,Jongup,Moon Jongup,1995-02-06,B.A.P,South Korea,176,66,M,1995,28
808,JOO,Jung Minjoo,1990-10-11,,South Korea,0,0,F,1990,33
809,Joo E,Lee Joowon,1999-08-18,MOMOLAND,South Korea,164,45,F,1999,24
810,JooA,Lee Juhyun,2002-03-04,Hi-L,South Korea,173,0,F,2002,21
811,Jooan,Im Jimyoung,1996-10-04,We In The Zone,South Korea,173,58,M,1996,27
812,Joochan,Hong Joochan,1999-07-31,Golden Child,South Korea,0,0,M,1999,24
813,Jooheon,Lee Jooheon,1994-10-06,MONSTA X,South Korea,0,0,M,1994,29
814,Joohyoung,Kim Joohyoung,2003-03-15,NINE.i,South Korea,0,0,M,2003,20
815,Joonie,Park Junhee,2002-05-24,ICHILLIN',USA,0,0,F,2002,21
816,Jooyeon,Lee Jooyeon,1987-03-19,,South Korea,0,0,F,1987,36
817,Jooyeon,Lee Jooyeon,2002-09-12,Xdinary Heroes,South Korea,0,0,M,2002,21
818,Joshua,Hong Jisoo,1995-12-30,Seventeen,USA,176,63,M,1995,28
819,Joy,Park Sooyoung,1996-09-03,Red Velvet,South Korea,163,0,F,1996,27
820,JR,Kim Jonghyun,1995-06-08,NU'EST,South Korea,0,0,M,1995,28
821,Ju-ne,Koo Junhoe,1997-03-31,iKON,South Korea,0,0,M,1997,26
822,Judy,Kim Dahye,1995-05-16,,South Korea,0,0,F,1995,28
823,Jueun,Lee Jooeun,1995-07-07,DIA,South Korea,0,0,F,1995,28
824,Jueun,Jo Jueun,2001-01-27,ARIAZ,South Korea,0,0,F,2001,22
825,Juhaknyeon,Ju Haknyeon,1999-03-09,The Boyz,South Korea,175,58,M,1999,24
826,Juhan,Hong Seunghyun,2001-06-21,BLITZERS,South Korea,0,0,M,2001,22
827,Juho,Yang Zuho,2004-03-04,HAWW,South Korea,182,0,M,2004,19
828,Juhyeon,Lee Juhyeon,2004-04-08,LIGHTSUM,South Korea,171,48,F,2004,19
829,Juhyun,Cha Juhyun,2000-04-01,Bling Bling,South Korea,0,0,F,2000,23
830,Juju,Park Juyoung,1996-01-03,Gate9,South Korea,168,0,F,1996,27
831,Jukang,Lee Hyowon,2002-11-22,JWiiver,South Korea,186,0,M,2002,21
832,Jun,Weng Junhui,1996-06-10,Seventeen,China,180,63,M,1996,27
833,Jun,Lee Junyoung,1997-01-22,U-KISS,South Korea,0,0,M,1997,26
834,Jun,Park Junhee,1994-06-02,A.C.E,South Korea,0,0,M,1994,29
835,Jun H.,Im Joonhyun,1991-08-28,UNVS,South Korea,0,0,M,1991,32
836,Jun Han,Han Hyeongjun,2002-08-18,Xdinary Heroes,South Korea,176,0,M,2002,21
837,Jun Jin,Park Choongjae,1980-08-19,Shinhwa,South Korea,182,75,M,1980,43
838,Jun. K,Kim Minjun,1988-01-15,2PM,South Korea,180,68,M,1988,35
839,June,Lee Junyoung,2003-06-16,BXB,South Korea,176,0,M,2003,20
840,Jungah,Kim Jungah,1983-08-02,,South Korea,0,0,F,1983,40
841,Junghoon,Lee Junghoon,2000-07-04,1TEAM,South Korea,0,0,M,2000,23
842,Junghoon,Han Jeonghoon,2000-02-14,OMEGA X,South Korea,177,61,M,2000,23
843,Junghoon,Kim Junghoon,2005-07-05,xikers,South Korea,0,0,M,2005,18
844,Junghun,Jang Junghun,1999-02-27,Astin,South Korea,0,0,M,1999,24
845,Junghwa,Park Junghwa,1995-05-08,EXID,South Korea,169,0,F,1995,28
846,Junghwan,So Junghwan,2005-02-18,Treasure,South Korea,0,0,M,2005,18
847,Jungkook,Jeon Jungkook,1997-09-01,BTS,South Korea,178,66,M,1997,26
848,Jungmo,Koo Jungmo,2000-02-05,CRAVITY,South Korea,181,58,M,2000,23
849,Jungshin,Lee Jungshin,1991-09-15,CNBLUE,South Korea,0,0,M,1991,32
850,Jungsu,Kim Jungsu,2001-06-26,Xdinary Heroes,South Korea,178,0,M,2001,22
851,Jungwon,Yang Jungwon,2004-02-09,ENHYPEN,South Korea,0,0,M,2004,19
852,Jungwoo,Kim Jungwoo,1998-02-19,NCT,South Korea,0,0,M,1998,25
853,Jungwoo,Uhm Jungwoo,1999-04-02,BVNDIT,South Korea,0,0,F,1999,24
854,Junho,Lee Junho,1990-01-25,2PM,South Korea,178,67,M,1990,33
855,Junho,Cha Junho,2002-07-09,DRIPPIN,South Korea,178,63,M,2002,21
856,Junhyeok,Kim Junhyeok,1993-07-17,,South Korea,0,0,M,1993,30
857,Junhyeok,Cheon Junhyeok,2004-09-20,TNX,South Korea,0,0,M,2004,19
858,Junhyoung,Oh Junhyoung,2001-04-14,CMDM,South Korea,0,0,M,2001,22
859,Junhyuk,Choi Junhyuk,1992-04-21,HOTSHOT,South Korea,0,0,M,1992,31
860,Junhyuk,Lee Junhyuk,2000-05-16,Mirae,South Korea,180,63,M,2000,23
861,Junhyung,Yong Junyung,1989-12-19,Highlight,South Korea,178,64,M,1989,34
862,Junhyung,Son Junhyung,2000-10-21,Ghost9,South Korea,0,0,M,2000,23
863,Junji,Kim Junhyung,1998-04-06,OnlyOneOf,South Korea,0,0,M,1998,25
864,Junkyu,Kim Junkyu,2000-09-09,Treasure,South Korea,0,0,M,2000,23
865,Junmin,Ryu Junmin,2003-04-05,ATBO,South Korea,172,0,M,2003,20
866,Junmin,Park Junmin,2003-05-24,xikers,South Korea,0,0,M,2003,20
867,JunQ,Kang Junkyu,1993-08-09,MYNAME,South Korea,0,0,M,1993,30
868,Junseo,Kim Junseo,2001-11-20,WEi,South Korea,177,64,M,2001,22
869,Junseo,Hwang Junseo,2001-01-16,DKB,South Korea,182,67,M,2001,22
870,Junseo,Park Junseo,2001-12-28,BAE173,South Korea,0,0,M,2001,22
871,Junseok,Oh Junseok,2003-03-03,ATBO,South Korea,174,0,M,2003,20
872,Junseong,Choi Junseong,2002-09-29,Ghost9,South Korea,170,55,M,2002,21
873,Juntae,Kim Juntae,1995-09-04,MY.st,South Korea,0,0,M,1995,28
874,Junwook,Kim Junwook,2002-01-10,TheEastLight,South Korea,0,0,M,2002,21
875,Junyoung,Lee Junyoung,2000-09-23,IZ,South Korea,0,0,M,2000,23
876,Juri,Takahashi Juri,1997-10-03,Rocket Punch,Japan,160,44,F,1997,26
877,Juyeon,Lee Juyeon,1998-01-16,The Boyz,South Korea,180,67,M,1998,25
878,Juyeon,Lee Juyeon,2001-11-06,Saturday,South Korea,164,44,F,2001,22
879,K.Me,Na Miri,1992-04-10,BADKIZ,South Korea,0,0,F,1992,31
880,Kady,Gu Dokyoung,1995-04-07,Gate9,South Korea,168,0,F,1995,28
881,Kaede,Yamada Kaede,2005-12-20,tripleS,Japan,160,0,F,2005,18
882,Kaeun,Lee Kaeun,1994-08-20,After School,South Korea,0,0,F,1994,29
883,Kahi,Park Jiyoung,1980-12-25,,South Korea,0,0,F,1980,43
884,Kai,Kim Jongin,1994-01-14,EXO,South Korea,182,65,M,1994,29
885,Kain,Bang Junho,1997-03-25,ARGON,South Korea,178,0,M,1997,26
886,Kairi,Imai Kairi,2003-02-24,T1419,Japan,0,0,M,2003,20
887,Kanghyun,Kang Hyungu,1998-11-24,Onewe,South Korea,0,0,M,1998,25
888,Kangin,Kim Youngwoon,1985-01-17,,South Korea,178,70,M,1985,38
889,Kangmin,Noh Kangmin,1999-09-05,Romeo,South Korea,0,0,M,1999,24
890,Kangmin,Yoo Kangmin,2003-01-25,Verivery,South Korea,0,0,M,2003,20
891,Kangsung,Lee Kangsung,2002-08-08,Ghost9,South Korea,0,0,M,2002,21
892,Karin,Min Karin,2002-01-05,ALICE,South Korea,0,0,F,2002,21
893,Karin,Baek Yerin,2000-04-23,CRAXY,South Korea,0,0,F,2000,23
894,Karina,Yoo Jimin,2000-04-11,aespa,South Korea,167,45,F,2000,23
895,Kazuha,Nakamura Kazuha,2003-08-09,LE SSERAFIM,Japan,174,0,F,2003,20
896,KB,Shin Kyubin,1994-04-23,OnlyOneOf,South Korea,0,0,M,1994,29
897,Keeho,Yoon Kiho,2001-09-27,P1Harmony,Canada,0,0,M,2001,22
898,Keena,Song Jakyung,2002-07-09,FIFTY FIFTY,South Korea,164,45,F,2002,21
899,Kei,Kim Jiyeon,1995-03-20,Lovelyz,South Korea,162,47,F,1995,28
900,Keina,Lee Yoona,1999-02-12,H.U.B,South Korea,0,0,F,1999,24
901,Keita,Terazono Keita,2001-07-04,Ciipher,Japan,170,59,M,2001,22
902,Kelly,Lin Kelly,2002-01-16,TRI.BE,Taiwan,0,0,F,2002,21
903,Ken,Lee Jaehwan,1992-04-06,VIXX,South Korea,180,65,M,1992,31
904,Kenta,Takada Kenta,1995-01-10,JBJ,Japan,0,0,M,1995,28
905,Keon,Kim Keon,2001-02-16,WEUS,South Korea,176,60,M,2001,22
906,Keonhee,Lee Keonhee,1998-06-27,Oneus,South Korea,0,0,M,1998,25
907,Keonwoo,Kim Keonwoo,1996-12-17,MY.st,South Korea,0,0,M,1996,27
908,Keum,Keum Donghyun,2003-05-14,EPEX,South Korea,176,57,M,2003,20
909,Keumjo,Lee Keumjo,1992-12-17,9Muses,South Korea,167,48,F,1992,31
910,Kevin,Christopher Woo,1991-11-25,U-KISS,USA,0,0,M,1991,32
911,Kevin,Kevin Jiyeop Kim,1988-02-23,ZE:A,South Korea,0,0,M,1988,35
912,Kevin,Moon Hyungseo,1998-02-23,The Boyz,Canada,176,66,M,1998,25
913,Kevin,Park Jinwoo,2000-01-12,OMEGA X,South Korea,167,51,M,2000,23
914,Kevin,Baek Seungbin,2001-04-08,T1419,South Korea,0,0,M,2001,22
915,Key,Kim Kibum,1991-09-23,SHINee,South Korea,179,59,M,1991,32
916,Khael,Lee Sangmin,2002-01-18,Mirae,South Korea,178,58,M,2002,21
917,Kiara,Baek Jinjoo,1998-08-20,,South Korea,0,0,F,1998,25
918,Kibum,Kim Kibum,1987-08-21,,South Korea,179,58,M,1987,36
919,Kichun,Hwang Kichun,1992-03-14,WE:A,South Korea,179,63,M,1992,31
920,Kid,Kim Junhoe,1995-10-26,VARSITY,South Korea,177,58,M,1995,28
921,Kidoh,Jin Hyosang,1992-12-16,,South Korea,0,0,M,1992,31
922,Kihyun,Yoo Kihyun,1993-11-22,MONSTA X,South Korea,0,0,M,1993,30
923,Kim Lip,Kim Jungeun,1999-02-10,LOONA,South Korea,0,0,F,1999,24
924,Kim Sanggyun,Kim Sanggyun,1995-05-23,JBJ95,South Korea,0,0,M,1995,28
925,Kim Yoon,Kim Seongsu,1994-02-17,DUSTIN,South Korea,183,65,M,1994,29
926,Kino,Kang Hyungku,1998-01-27,PENTAGON,South Korea,0,0,M,1998,25
927,Kio,Udo Musashi,2004-11-28,T1419,South Korea,0,0,M,2004,19
928,Kiseop,Lee Kiseop,1991-01-17,U-KISS,South Korea,0,0,M,1991,32
929,Kisu,Choi Kisu,1990-10-02,24K,South Korea,179,60,M,1990,33
930,Kiwon,Lee Kiwon,1996-06-27,GIDONGDAE,South Korea,170,0,M,1996,27
